,,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area
130,Midlothian,715.0,-3.108720328371189,0.07040064961889846,-3.3101351152999996,-3.16403683505,-3.0966397764,-3.0542997196000004,-2.8733624033,715.0,55.867966714243636,0.025957518797987605,55.786799703199996,55.8497267542,55.8707699925,55.885694521649995,55.928242325,715.0,1.834965034965035,1.776175144244913,0.0,1.0,1.0,2.0,16.0,715.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,715.0,628.0,0.0,628.0,628.0,628.0,628.0,628.0,610.0,-3.109073598819672,0.07171849777978978,-3.31000322,-3.1656977599999996,-3.097638175,-3.05430109,-2.87366001,610.0,55.866434754573774,0.025820900737698622,55.7871752,55.84854205,55.86950257,55.88295848999999,55.92783778
131,Moray,750.0,-3.2554060091076003,0.2315761656542257,-3.7264930919999997,-3.378191880725,-3.2964991598499997,-3.034385930825,-2.7111287211,750.0,57.6081695765296,0.09281948172551488,57.2510881384,57.587468667799996,57.637685637749996,57.663034468125,57.7231444479,750.0,2.013333333333333,1.4207440211571403,0.0,1.0,2.0,3.0,10.0,750.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,750.0,638.0,0.0,638.0,638.0,638.0,638.0,638.0,0.0,,,,,,,,0.0,,,,,,,
132,North Ayrshire,1086.0,-4.802368602844107,0.18961771475789113,-5.3931225527999995,-4.86067212925,-4.7340761462,-4.66830022355,-4.5748434391,1086.0,55.66109767264889,0.0816615523161473,55.4417959883,55.618410840475,55.646403295949995,55.707941524424996,55.8727760495,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1086.0,617.0,0.0,617.0,617.0,617.0,617.0,617.0,796.0,-4.810583935540201,0.20470882229666315,-5.39299018,-4.86344582,-4.72569027,-4.66514242,-4.57485674,796.0,55.65805475792714,0.08278924106538549,55.44183008,55.61520538,55.64544064,55.70856688,55.87253653
133,North Lanarkshire,1733.0,-3.9836500997225044,0.0756612667266193,-4.1635211393,-4.0373206153,-3.9900098244,-3.9471066677999995,-3.7472403488999997,1733.0,55.855907812054525,0.059810771300703974,55.7522200787,55.8119821716,55.8509241369,55.893276441000005,55.9894900143,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1733.0,616.0,0.0,616.0,616.0,616.0,616.0,616.0,1242.0,-3.9808568568438005,0.07587450308925853,-4.15923355,-4.03634767,-3.98712395,-3.94405995,-3.74919698,1242.0,55.856275768824474,0.061076699919411045,55.75338662,55.810954195,55.85131656,55.89384795,55.98406483
134,Orkney Islands,745.0,-3.064085224702282,0.18277691171848684,-3.3446198978,-3.2344279795,-3.0578328999,-2.9435672998,-2.4307346987000003,745.0,58.97589279387692,0.0992082612177695,58.7399197519,58.9314159936,58.974501931499994,59.017544433199994,59.3691590161,745.0,2.0805369127516777,2.0897753471748612,0.0,1.0,1.0,3.0,10.0,745.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,745.0,602.0,0.0,602.0,602.0,602.0,602.0,602.0,527.0,-3.0916946827324483,0.2322282060991905,-5.51027688,-3.25633529,-3.09752941,-2.95118469,-2.43192774,527.0,58.73960720041746,1.2464032351434635,50.80580624,58.934288300000006,58.97879097,59.04222499,59.36842263
135,Perth & Kinross,2141.0,-3.548100003009155,0.25918526646194723,-4.5771921774,-3.7259337619,-3.4630734112,-3.4010655136000003,-3.054940696,2141.0,56.440410973566465,0.13444100105181617,56.146697592200006,56.3735149939,56.4042426937,56.542554395,56.8504341912,2141.0,1.8070994862213918,1.7835347775456158,0.0,1.0,1.0,3.0,13.0,2141.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2141.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,837.0,-3.5639321798327366,0.27714324109291694,-4.50719154,-3.73348645,-3.46596254,-3.39769824,-3.05546457,837.0,56.45448152117085,0.1436685850631623,56.15327162,56.37907498,56.41142971,56.57192334,56.81242153
136,Renfrewshire,1018.0,-4.459346138430157,0.06177968276145908,-4.6329974138,-4.505575944325,-4.443600045949999,-4.4134436744,-4.3548947421,1018.0,55.85003453397819,0.026459540295530222,55.7688387799,55.831816465675,55.8459155129,55.86383263615,55.9177399433,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1018.0,614.0,0.0,614.0,614.0,614.0,614.0,614.0,645.0,-4.465629203984496,0.06501313204050273,-4.63291185,-4.51396367,-4.44605195,-4.4209436,-4.35548065,645.0,55.84973825951937,0.02768493767999549,55.76884349,55.83115646,55.8454396,55.86396994,55.91692163
137,Shetland Islands,925.0,-1.2520462685792435,0.18281729453593976,-2.0558425884,-1.3485548672,-1.2725709205,-1.1599191948999998,-0.7504657168000001,925.0,60.27072749052325,0.2302495207744059,59.533970712700004,60.1349234206,60.2332411801,60.4266774952,60.80892927439999,925.0,0.6756756756756757,0.5018393685660302,0.0,0.0,1.0,1.0,2.0,925.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,925.0,603.0,0.0,603.0,603.0,603.0,603.0,603.0,801.0,-1.2648060670162296,0.17917168426811922,-2.0552655,-1.35617908,-1.28636663,-1.1723702,-0.74950363,801.0,60.26825679516854,0.2271651930864307,59.53537038,60.12873119,60.23837365,60.41706178,60.799057
138,South Ayrshire,896.0,-4.659225849566406,0.10027129590239424,-5.0475599379,-4.665031191000001,-4.62851537605,-4.607587672999999,-4.4246705443000005,896.0,55.4228555281125,0.11661496694597558,55.0080519653,55.41010176395,55.4541727907,55.489720113524996,55.5877757009,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,896.0,619.0,0.0,619.0,619.0,619.0,619.0,619.0,623.0,-4.663823548507223,0.10670175890290065,-5.04739386,-4.683305085000001,-4.6262053,-4.6073913399999995,-4.42469771,623.0,55.412302698234356,0.12293695118116418,55.00808183,55.352487115,55.44879878,55.48414437,55.58772259
139,South Lanarkshire,1613.0,-4.036587072180471,0.17044812996833128,-4.2424987631999995,-4.1799677303,-4.0736997716,-3.9207908074,-3.4256236508,1613.0,55.747572281124675,0.06533624059855249,55.4160686974,55.72798417560001,55.762186658000005,55.7880266499,55.8378605292,1613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1613.0,615.0,0.0,615.0,615.0,615.0,615.0,615.0,1129.0,-4.0252229729938,0.17283611038617658,-4.23672876,-4.17417573,-4.06140379,-3.89570601,-3.42581015,1129.0,55.741441375261296,0.06793744179385781,55.43726368,55.71372042,55.7581748,55.77992193,55.83773181
14,Conwy,1091.0,-3.75749641143923,0.11662046934082088,-4.0189068488999995,-3.83136055245,-3.7942429636000004,-3.6842908002000003,-3.4662087824000003,1091.0,53.242369763091205,0.08466476684467489,52.988930528800005,53.19905126885,53.2826747001,53.29954008085,53.3413068154,1091.0,0.9917506874427131,0.8582710143751212,0.0,0.0,1.0,2.0,4.0,1091.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1091.0,513.0,0.0,513.0,513.0,513.0,513.0,513.0,0.0,,,,,,,,0.0,,,,,,,
140,Stirling,682.0,-4.036542505220088,0.18422125849960574,-4.7221504411,-4.0829861288,-3.94554197495,-3.9285669873500004,-3.8325317595999997,682.0,56.13839405710322,0.07773999466045624,55.9802905196,56.09919817855,56.124179095049996,56.15501839890001,56.4782485046,682.0,1.8709677419354838,1.3099893853973132,0.0,1.0,1.0,2.0,13.0,682.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,682.0,660.0,0.0,660.0,660.0,660.0,660.0,660.0,484.0,-4.053137421508264,0.19504983553086358,-4.72198892,-4.1958154875,-3.94703787,-3.92885636,-3.84493108,484.0,56.137805675929755,0.08253094902267218,55.98029412,56.0994126025,56.12187515,56.148541975,56.47823397
141,West Lothian,985.0,-3.582656050284264,0.0824800345750059,-3.7775721808999996,-3.6463351816000005,-3.5803541353,-3.5123829020999997,-3.3934273717,985.0,55.8986513727933,0.035243639215337796,55.8226723382,55.878464684499995,55.8967229072,55.9076458124,55.9955138362,985.0,3.1096446700507614,1.5526525872000936,0.0,2.0,3.0,4.0,11.0,985.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,985.0,629.0,0.0,629.0,629.0,629.0,629.0,629.0,61.0,-3.5793806632786884,0.09810161084843705,-3.73328313,-3.65645373,-3.58043733,-3.51246486,-3.39358654,61.0,55.894108227704926,0.024043749244144916,55.82883492,55.88757844,55.90112671,55.90239367,55.93172798
142,Western Isles,1771.0,-6.819618086167024,0.44558309579879696,-7.5435964712,-7.3231337897,-6.7732774324000005,-6.3864759386,-6.1440673396,1771.0,57.89608454220983,0.4530492270436532,56.91930828,57.539802333699996,58.1116251145,58.2406351603,58.50281194,1771.0,0.10897797854319594,0.4369690483687553,0.0,0.0,0.0,0.0,6.0,1771.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1771.0,601.0,0.0,601.0,601.0,601.0,601.0,601.0,1590.0,-6.830752722534592,0.4410440185222216,-7.54327167,-7.32549837,-6.78064672,-6.38997343,-6.15542925,1590.0,57.88850444584276,0.4474945347885674,56.927468,57.53112479,58.09725262,58.23475343,58.49182157
145,National - National Air,79.0,-2.432469451027215,2.1813222927042686,-7.4491345811,-3.3901015004,-2.1577646799,-0.62024543455,1.3580645963,79.0,54.28654629165822,3.289512029814291,49.9137945499,51.4702572279,53.3605806721,56.813287125900004,60.4253116261,79.0,2.9746835443037973,1.1432598863787105,1.0,2.0,3.0,3.0,7.0,79.0,261.0759493670886,83.82502718986747,1.0,254.0,310.0,310.0,310.0,79.0,920.0,0.0,920.0,920.0,920.0,920.0,920.0,78.0,-2.4053207871794866,2.182274017043352,-7.44989747,-3.3574415075,-2.10651262,-0.553528945,1.3580914,78.0,54.29985281897436,3.308652595019713,49.91378634,51.4698568175,53.36086202,56.9195951525,60.42699696
146,National - National Ferry,826.0,-2.9352793189416704,2.1485228671755627,-7.4882517416,-4.6822291196000005,-3.0872768525999996,-1.1576410185500001,1.66783861683,826.0,53.25104967699152,2.8507738500179225,49.896011887,50.894367795324996,51.5069122279,55.87334969060001,60.6831204866,826.0,1.824455205811138,1.0648920872017915,0.0,1.0,2.0,2.0,8.0,826.0,263.10290556900725,83.30034925188987,2.0,238.0,310.0,310.0,310.0,826.0,930.0,0.0,930.0,930.0,930.0,930.0,930.0,819.0,-2.9401238761416364,2.1526096304069573,-7.48821573,-4.689498524999999,-3.08964127,-1.154110935,1.66786733,819.0,53.247927245103774,2.8605586005389503,49.896004,50.87070246,51.50659769,55.87596119,60.68313753
147,National - National Tram,2421.0,-1.177012276980409,1.2259535274391322,-4.7614104134,-2.117652091,-1.1599976767,-0.1330683246,1.40873000252,2421.0,52.62375252594605,1.3695759799842708,50.348781909799996,51.5130557597,52.0211497255,53.4746616953,57.5437008196,2421.0,1.983064849235853,1.0856512801038767,0.0,1.0,2.0,3.0,8.0,2421.0,265.13795952085917,61.55957915509234,4.0,256.0,282.0,303.0,310.0,2421.0,940.0,0.0,940.0,940.0,940.0,940.0,940.0,2415.0,-1.1770385916397517,1.2275978179096938,-5.23303181,-2.11764575,-1.15999069,-0.13253101,1.40824737,2415.0,52.626639410227746,1.366967492205157,50.34876335,51.51338883,52.38364537,53.47437237,57.54368319
15,Darlington,666.0,-1.5498789494507508,0.04084424393284606,-1.6894415799,-1.5766551991250002,-1.55051415805,-1.5274379184,-1.4221071895,666.0,54.532515705980785,0.020713152516775836,54.483012387399995,54.5209161519,54.530464445700005,54.541343066950006,54.610370187,666.0,3.3378378378378377,1.933863827415777,0.0,2.0,3.0,4.0,12.0,666.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,666.0,76.0,0.0,76.0,76.0,76.0,76.0,76.0,469.0,-1.5529251941577826,0.036431441777352525,-1.68928149,-1.57557655,-1.55133586,-1.53150074,-1.42532236,469.0,54.53141707420043,0.01979083691643895,54.48311085,54.52040372,54.52964208,54.53967617,54.61034197
151,Central Bedfordshire,1753.0,-0.451432941260867,0.14306165674212948,-0.694615173,-0.5531756841,-0.49190281799999996,-0.3057827503,-0.1505280185,1753.0,51.98827729103429,0.08487715959946557,51.82647420520001,51.911892386000005,52.0019256531,52.056550280299994,52.1729658815,1753.0,2.602395892755277,1.4003974356884064,0.0,2.0,3.0,3.0,9.0,1753.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1753.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,402.0,-0.4529050395771145,0.1408553835631777,-0.68536303,-0.54145279,-0.49225908,-0.3107706225,-0.16291918,402.0,51.9808832364179,0.07847461786949461,51.83029938,51.913020725,52.00301748,52.036018202499996,52.17103563
152,Cheshire West & Chester,2349.0,-2.7781751079281825,0.16986109155132162,-3.0884444346,-2.9050444495,-2.8352697326999996,-2.6138140128,-2.3715998479,2349.0,53.22190843028434,0.05855098244922328,52.9886444304,53.1900877558,53.2233731407,53.2704506341,53.326189844700004,2349.0,3.6368667518092805,2.188054854361659,0.0,2.0,3.0,5.0,21.0,2349.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2349.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,1943.0,-2.7840577603345342,0.16861601840831925,-3.08836745,-2.908600475,-2.84916731,-2.64350949,-2.38368368,1943.0,53.221984988960365,0.057678404673414875,52.9887209,53.190198699999996,53.22144058,53.27045656,53.32618654
16,Denbighshire,832.0,-3.392161702264663,0.09239398395510197,-3.5561968692000003,-3.4638834988999996,-3.4149501915,-3.346583127925,-3.0887232013,832.0,53.2020039993774,0.12440064217247476,52.8712566049,53.113971780374996,53.230011185550005,53.31864114729999,53.3463573333,832.0,0.7295673076923077,0.6991077726464584,0.0,0.0,1.0,1.0,5.0,832.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,832.0,511.0,0.0,511.0,511.0,511.0,511.0,511.0,0.0,,,,,,,,0.0,,,,,,,
17,Derby,1260.0,-1.4723326044339684,0.0381472626672987,-1.5543247081,-1.4994441217749999,-1.4753652899,-1.44154011195,-1.385751549,1260.0,52.914387699621194,0.021232738770731282,52.8627003819,52.899169504775,52.915481801750005,52.928333812675,52.9585852766,1260.0,2.346825396825397,1.729856794264619,0.0,1.0,2.0,3.0,15.0,1260.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1260.0,109.0,0.0,109.0,109.0,109.0,109.0,109.0,1052.0,-1.4718271927376425,0.037867909151207704,-1.55421797,-1.4987682,-1.47445172,-1.44178244,-1.38592744,1052.0,52.91452458687262,0.021671650024668046,52.86281533,52.899172192500004,52.9154827,52.929373934999994,52.95842858
18,East Riding of Yorkshire,2026.0,-0.4523934623611402,0.26576502821200787,-1.0852150592,-0.6313117048,-0.43396313329999997,-0.21685353189999998,0.1437839302,2026.0,53.844750041013576,0.13095829121463323,53.578047840299995,53.73835328255001,53.799416984299995,53.931950090875006,54.146061894300004,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2026.0,220.0,0.0,220.0,220.0,220.0,220.0,220.0,5.0,-0.42323708800000004,0.0003409682464981244,-0.4236106,-0.4236106,-0.42298808,-0.42298808,-0.42298808,5.0,53.842136072,0.00021214390097373518,53.84190368,53.84190368,53.842291,53.842291,53.842291
19,Flintshire,1231.0,-3.116438949228513,0.09903364247032537,-3.3896817099,-3.1884635339,-3.0955220599,-3.0425312431,-2.9205365937,1231.0,53.206066254566046,0.05694139946023241,53.0865589151,53.167539477400005,53.19635449729999,53.24225036520001,53.3496706934,1231.0,0.8984565393988627,0.5275399783909248,0.0,1.0,1.0,1.0,3.0,1231.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1231.0,512.0,0.0,512.0,512.0,512.0,512.0,512.0,0.0,,,,,,,,0.0,,,,,,,
2,Blackburn with Darwen,991.0,-2.4738165535246215,0.028233371280307243,-2.5507571891,-2.4919431425000003,-2.4746966975999998,-2.45900611785,-2.3744386751,991.0,53.72621149043885,0.03283843695035218,53.6227586354,53.7029530513,53.7344753785,53.74948915675,53.780671213999995,991.0,1.4480322906155398,1.1214500276930883,0.0,1.0,1.0,2.0,9.0,991.0,305.0554994954591,30.914870854121645,104.0,310.0,310.0,310.0,310.0,991.0,258.0,0.0,258.0,258.0,258.0,258.0,258.0,10.0,-2.49293869,0.040423850613991875,-2.54412125,-2.5183766,-2.490426705,-2.468483095,-2.41454279,10.0,53.72083354,0.0284285315825749,53.65599087,53.706280667499996,53.731928374999995,53.7348248625,53.74652959
20,Gwynedd,1929.0,-4.170925753708346,0.2226551866674128,-4.7488281723000005,-4.2782405494999995,-4.151083112799999,-4.0630941829000005,-3.4511738797000002,1929.0,52.97352680574075,0.17656860171145278,52.5442186469,52.8565263219,52.9575101023,53.1397330726,53.323956468199995,1929.0,1.0305857957490927,0.8615806899507787,0.0,1.0,1.0,1.0,22.0,1929.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1929.0,540.0,0.0,540.0,540.0,540.0,540.0,540.0,0.0,,,,,,,,0.0,,,,,,,
21,Halton,672.0,-2.718206196563839,0.03772818874167324,-2.8210138875,-2.7410045215,-2.7227316602,-2.6954990287999996,-2.6246466012000003,672.0,53.348366410941814,0.022392052009409736,53.307341093199994,53.32949976214999,53.342995911749995,53.3695930931,53.399747454300005,672.0,1.1488095238095237,6.350788707677684,0.0,0.0,0.0,0.0,110.0,672.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,672.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,2.0,-2.7648209550000002,0.012219194087633315,-2.77346123,-2.7691410925,-2.7648209550000002,-2.7605008175,-2.75618068,2.0,53.372664805,0.0033856626236616143,53.37027078,53.3714677925,53.372664805,53.3738618175,53.37505883
22,Hartlepool,737.0,-1.2277687585694708,0.023807452604331283,-1.3529812298,-1.2405438732,-1.2265917839,-1.2126915294,-1.1820013084,737.0,54.68005778041791,0.01964116338857432,54.624771093599996,54.6622668389,54.6835956022,54.6944578279,54.722121189700005,737.0,2.0868385345997287,1.1600472803483064,0.0,2.0,2.0,2.0,8.0,737.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,737.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,647.0,-1.2282173014064917,0.023069285787969344,-1.34558154,-1.240878535,-1.22721028,-1.213707195,-1.18448893,647.0,54.68011787370943,0.019674971731688966,54.62499827,54.66193092,54.68253174,54.69474349,54.72194933
23,Herefordshire,1801.0,-2.7050999973267076,0.15936723676040696,-3.1192763583,-2.7864821229000003,-2.7114940225,-2.5963800114,-2.3391584118,1801.0,52.06095572830789,0.10336847255853558,51.8431933118,52.002195825600005,52.057376992200005,52.114104016300004,52.364458098,1801.0,1.7767906718489728,2.0696577615746694,0.0,0.0,1.0,2.0,25.0,1801.0,309.7867851193781,6.396445431550294,118.0,310.0,310.0,310.0,310.0,1801.0,209.0,0.0,209.0,209.0,209.0,209.0,209.0,37.0,-2.6615433205405408,0.1113594849229003,-2.73158493,-2.71327954,-2.70911842,-2.70849648,-2.35839551,37.0,52.07811652864864,0.05089994198151775,52.04418734,52.05801107,52.05853855,52.06071804,52.22567488
24,Isle of Anglesey,790.0,-4.370505232429873,0.1561109454701576,-4.6906025175999995,-4.506697294775,-4.3461091723,-4.241236440275,-4.0563359805,790.0,53.279151963580254,0.0619019454519838,53.15809075520001,53.23194255505,53.2737839117,53.3116475466,53.420985826499994,790.0,0.8088607594936709,0.5111407440049481,0.0,1.0,1.0,1.0,3.0,790.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,790.0,541.0,0.0,541.0,541.0,541.0,541.0,541.0,0.0,,,,,,,,0.0,,,,,,,
25,Isle of Wight,1337.0,-1.2756186284725506,0.1153556444194685,-1.5798481783000002,-1.3205569901,-1.2722294631,-1.1799077313,-1.079004405,1337.0,50.676718269072325,0.04423934282452734,50.579073871300004,50.6461970428,50.681765113699996,50.7062360135,50.766310959799995,1337.0,12.12715033657442,16.565023041196653,0.0,3.0,6.0,15.0,96.0,1337.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1337.0,230.0,0.0,230.0,230.0,230.0,230.0,230.0,34.0,-1.209233385882353,0.07816857560150316,-1.50048762,-1.2903825925,-1.1614784500000002,-1.15946615,-1.1387119,34.0,50.71412501117646,0.03352618721311195,50.63389681,50.69812754,50.728413520000004,50.73271059,50.76240476
26,Kingston upon Hull,1488.0,-0.33606203021229836,0.04122290095932654,-0.4201642407,-0.36622976555,-0.33843127525,-0.30768792755,-0.24977871670000001,1488.0,53.76282807256552,0.019635691876705604,53.721833725799996,53.745515188249996,53.761755970050004,53.777955012675,53.811994886099995,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1488.0,229.0,0.0,229.0,229.0,229.0,229.0,229.0,41.0,-0.3472017007317073,0.0004310889113476967,-0.34732134,-0.34732134,-0.34732134,-0.34732134,-0.34568627,41.0,53.74459035756097,0.00011970839738284158,53.74416954,53.74462358,53.74462358,53.74462358,53.74462358
27,Leicester,1469.0,-1.1324391109616065,0.17148118851970948,-7.55706363,-1.153928692,-1.1317947501999999,-1.1011312409,-1.0482103133,1469.0,52.63336399760047,0.07745548453487364,49.7668152021,52.624016648,52.6372005034,52.6489714864,52.685838023900004,1469.0,2.174948944860449,1.491583590827889,0.0,1.0,2.0,3.0,18.0,1469.0,304.02450646698435,41.40592171057716,16.0,310.0,310.0,310.0,310.0,1469.0,269.0,0.0,269.0,269.0,269.0,269.0,269.0,105.0,-1.133066639142857,0.008456321122248422,-1.17972074,-1.13375123,-1.13130098,-1.12991541,-1.12517613,105.0,52.637819589904765,0.005890020965176371,52.62569327,52.63662443,52.63792297,52.6395681,52.6671479
28,Luton,783.0,-0.4263011402528735,0.03293116752425502,-0.5046062412,-0.45164753015000003,-0.4222170517,-0.401860612,-0.36299426009999997,783.0,51.893836025067685,0.014243247949350106,51.86218715060001,51.882076380399994,51.893361114399994,51.90431071009999,51.9264612829,783.0,3.412515964240102,1.8345077263098668,0.0,2.0,3.0,5.0,12.0,783.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,783.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0,119.0,-0.41312481932773115,0.031163376007412678,-0.49818088,-0.42365367,-0.41501048,-0.37589797,-0.3741726,119.0,51.884682566302516,0.009825875058442042,51.87151362,51.87917533,51.88103673,51.884652525,51.90738977
29,Medway,1126.0,0.5381989001336768,0.04510019379145623,0.42624634159999997,0.5077505703899999,0.5332701898500001,0.5698376363525001,0.71667877179,1126.0,51.3780896379103,0.0272775040543926,51.330978952799995,51.35833497470001,51.3747681692,51.391466797350006,51.4737864872,1126.0,3.8925399644760215,1.7312801521036645,0.0,3.0,4.0,5.0,14.0,1126.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1126.0,249.0,0.0,249.0,249.0,249.0,249.0,249.0,82.0,0.5334010390243902,0.04770794675773625,0.44186643,0.50096195,0.545024645,0.5596215775,0.61192946,82.0,51.37815110999999,0.016798784099949816,51.34555202,51.365627835,51.38037603,51.3878899275,51.42080291
3,Blackpool,865.0,-3.0361852072425433,0.0158424907911343,-3.0583860549,-3.0502322218,-3.0379872332,-3.0257088652,-2.9865585635,865.0,53.82005946188127,0.026170612893278378,53.7752510295,53.7994510833,53.8178125167,53.8363653326,53.8744665574,865.0,2.993063583815029,1.6955682912944439,0.0,2.0,3.0,4.0,12.0,865.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,865.0,259.0,0.0,259.0,259.0,259.0,259.0,259.0,8.0,-3.04557434,0.009824878671153352,-3.05380416,-3.0505157925,-3.04927076,-3.0442868825000002,-3.02998562,8.0,53.808288162500006,0.023049901266768598,53.77677785,53.78824437,53.810274925,53.8252656575,53.83528079
30,Merthyr Tydfil,548.0,-3.3632603394370433,0.036708494603476,-3.826269066,-3.38256715965,-3.3676302731,-3.34551267795,-3.2871333380000003,548.0,51.73485509272464,0.03709400438776344,51.625863208999995,51.7097433037,51.74834267815,51.762321804875,51.809048245,548.0,1.9653284671532847,0.6656102488915386,0.0,2.0,2.0,2.0,4.0,548.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,548.0,553.0,0.0,553.0,553.0,553.0,553.0,553.0,0.0,,,,,,,,0.0,,,,,,,
